"site_name","station_name","date","latitude","longitude","period","air_temp_mean","air_temp_max","air_temp_min","precip_mean","precip_max","precip_total","precip_max_hourly_mean","precip_max_hourly_max","relative_humidity_mean","relative_humidity_max","relative_humidity_min","atmospheric_pressure_mean","atmospheric_pressure_max","atmospheric_pressure_min","battery_percent_mean","battery_percent_max","battery_percent_min"
"acacia","upepo","2021-11-25",-3.2325648,35.509532,3,21.0621276595745,26.93,16.04,0,0,0,0,0,0.565082532651619,0.799355938692981,0.367935481594653,81.7810638297872,81.94,81.53,100,100,100
"acacia","upepo","2021-11-26",-3.2325648,35.509532,3,20.6517021276596,25.24,16.21,0,0,0,0,0,0.595294479580691,0.813023145008037,0.418492014314803,81.9617021276596,82.1,81.79,100,100,100
"acacia","upepo","2021-11-27",-3.2325648,35.509532,3,18.9512765957447,24.53,13.47,0.88936170212766,9.4,41.8,4.08510638297872,36,0.671836809488432,0.960307871583743,0.427743020287568,82.0376595744681,82.23,81.75,100,100,100
"acacia","upepo","2021-11-28",-3.2325648,35.509532,3,20.0442553191489,25.2,15.88,0,0,0,0,0,0.630289105617371,0.810411245101187,0.460689424097079,81.9736170212766,82.2,81.74,100,100,100
"acacia","upepo","2021-11-29",-3.2325648,35.509532,3,20.1097872340426,24.21,16.95,0,0,0,0,0,0.631503245853762,0.796357905912538,0.479176785538897,81.9129787234043,82.09,81.71,100,100,100
"acacia","upepo","2021-11-30",-3.2325648,35.509532,3,20.1534042553191,25.02,16.1,0.00851063829787234,0.4,0.4,0.51063829787234,24,0.637334669705729,0.808301908609384,0.459654242639242,81.8859574468085,82.06,81.69,100,100,100
"acacia","upepo","2021-12-01",-3.2325648,35.509532,3,19.5340425531915,25,12.39,0.025531914893617,0.6,1.2,0.51063829787234,12,0.653477335637504,0.875444968084751,0.442362876269798,81.8625531914894,82.12,81.65,100,100,100
"acacia","upepo","2021-12-02",-3.2325648,35.509532,3,19.3597872340426,24.84,16.48,0.0170212765957447,0.6,0.8,0.51063829787234,12,0.699359268267225,0.882946537704838,0.434647864847393,81.8978723404255,82.06,81.68,100,100,100
"acacia","upepo","2021-12-03",-3.2325648,35.509532,3,18.7374468085106,23.78,15.25,0.0170212765957447,0.2,0.8,1.02127659574468,12,0.701844714805204,0.888220628403756,0.484312715215786,82.0053191489362,82.27,81.81,100,100,100
"acacia","upepo","2021-12-04",-3.2325648,35.509532,3,19.6591489361702,24.61,15.28,0,0,0,0,0,0.635174024293157,0.827117689912722,0.435488650594443,82.0129787234043,82.14,81.84,100,100,100
"acacia","upepo","2021-12-05",-3.2325648,35.509532,3,20.1444680851064,26.03,15.93,0.153191489361702,6.8,7.2,1.53191489361702,48,0.646670283792337,0.907202006652268,0.396104542185779,82.0129787234043,82.3,81.81,100,100,100
"acacia","upepo","2021-12-06",-3.2325648,35.509532,3,19.5506382978723,25.37,14.18,0,0,0,0,0,0.656968685978891,0.867518710034019,0.419225338570428,82.0410638297872,82.16,81.82,100,100,100
"acacia","upepo","2021-12-07",-3.2325648,35.509532,3,20.8370212765957,26.53,16.2,0,0,0,0,0,0.597587915630168,0.79373421546884,0.384556252183287,82.0302127659574,82.14,81.83,100,100,100
"acacia","upepo","2021-12-08",-3.2325648,35.509532,3,20.3870212765957,25.8,15.25,0,0,0,0,0,0.632507786977981,0.777790357260208,0.433717811684918,82.0208510638298,82.18,81.82,100,100,100
"acacia","upepo","2021-12-09",-3.2325648,35.509532,3,18.7387234042553,24.05,14.68,0.051063829787234,0.6,2.4,2.04255319148936,12,0.773915435170168,0.935971881151945,0.597571599685716,82.058085106383,82.24,81.81,100,100,100
"acacia","upepo","2021-12-10",-3.2325648,35.509532,3,20.1721276595745,24.78,17.01,0,0,0,0,0,0.654258427599028,0.837101137432186,0.510353246289278,81.9189361702128,82.13,81.72,100,100,100
"acacia","upepo","2021-12-11",-3.2325648,35.509532,3,20.5982978723404,25.04,16.6,0,0,0,0,0,0.620457623171915,0.734737897355019,0.4761196777157,81.8291489361702,81.96,81.65,100,100,100
"acacia","upepo","2021-12-12",-3.2325648,35.509532,3,20.453829787234,25.22,15.49,0,0,0,0,0,0.611774119594494,0.791250959752905,0.442454468697755,81.8546808510638,82.07,81.65,100,100,100
"acacia","upepo","2021-12-13",-3.2325648,35.509532,3,20.2814893617021,25.73,13.1,0,0,0,0,0,0.635603936257478,0.896147198170873,0.451248389072985,81.8748936170213,81.99,81.65,100,100,100
"acacia","upepo","2021-12-14",-3.2325648,35.509532,3,19.8404255319149,24.76,14.84,0,0,0,0,0,0.671838936203337,0.836043529846937,0.532533842420263,81.8397872340426,81.99,81.65,100,100,100
"acacia","upepo","2021-12-15",-3.2325648,35.509532,3,19.3195744680851,24.28,16.76,0.0680851063829787,1.8,3.2,1.27659574468085,12,0.731347543418385,0.860295057520097,0.54739086826392,81.8289361702128,81.98,81.62,100,100,100
"acacia","upepo","2021-12-16",-3.2325648,35.509532,3,19.9134042553191,24.84,15.84,0,0,0,0,0,0.678822983902959,0.845225414271751,0.496262915076802,81.8525531914894,81.99,81.66,100,100,100
"acacia","upepo","2021-12-17",-3.2325648,35.509532,3,20.61,25.73,15.76,0,0,0,0,0,0.603670919939387,0.784535730011025,0.459414412199641,81.8848936170213,82.07,81.74,100,100,100
"acacia","upepo","2021-12-18",-3.2325648,35.509532,3,19.5148936170213,26.56,13.51,0.297872340425532,9,14,2.04255319148936,48,0.676826212869782,0.871924307096822,0.436555310640833,81.9578723404255,82.12,81.71,100,100,100
"acacia","upepo","2021-12-19",-3.2325648,35.509532,3,19.5665957446808,25.79,15,0.182978723404255,5,8.6,3.31914893617021,84,0.733956687890247,0.869972869749212,0.512934254673484,81.9540425531915,82.16,81.68,100,100,100
"acacia","upepo","2021-12-20",-3.2325648,35.509532,3,18.858085106383,24.39,14.31,0.123404255319149,2.2,5.8,2.04255319148936,24,0.791761364954745,0.947989787732458,0.557553534275986,82.0159574468085,82.19,81.72,100,100,100
"acacia","upepo","2021-12-21",-3.2325648,35.509532,3,20.428085106383,25.29,16.37,0.00425531914893617,0.2,0.2,0.25531914893617,12,0.69326946261605,0.856358781998427,0.525544997230256,82.0357446808511,82.17,81.85,100,100,100
"acacia","upepo","2021-12-22",-3.2325648,35.509532,3,20.158085106383,24.78,16.63,0,0,0,0,0,0.670218717789401,0.868219063509352,0.485173031574542,81.92,82.13,81.76,100,100,100
"acacia","upepo","2021-12-23",-3.2325648,35.509532,3,20.5102127659574,25.42,16.15,0.00425531914893617,0.2,0.2,0.25531914893617,12,0.660480789815188,0.80670196303266,0.495056449519306,81.868085106383,81.97,81.67,100,100,100
